,name,na_sales,eu_sales,jp_sales,other_sales,global_sales
1911,Plants vs. Zombies: Garden Warfare,0.51,0.47,0.0,0.09,1.08
1912,The Simpsons Game,0.24,0.54,0.0,0.3,1.07
1914,LEGO Star Wars II: The Original Trilogy,0.96,0.03,0.0,0.08,1.07
1915,Call of Duty 3,0.89,0.03,0.0,0.15,1.07
1916,FIFA Soccer 11,0.26,0.69,0.0,0.12,1.07
1918,Prince of Persia,0.47,0.4,0.03,0.17,1.07
1924,Tomb Raider: Underworld,0.53,0.42,0.01,0.11,1.07
1926,Pro Evolution Soccer 2008,0.08,0.9,0.04,0.05,1.07
1927,SoulCalibur III,0.74,0.15,0.13,0.05,1.07
1928,Tiger Woods PGA Tour 10,0.6,0.36,0.0,0.11,1.07
1931,World Tour Soccer,0.1,0.63,0.0,0.34,1.07
1932,Naruto: Ultimate Ninja Storm,0.49,0.34,0.09,0.15,1.07
1934,Lightning Returns: Final Fantasy XIII,0.31,0.2,0.45,0.11,1.07
1937,Mortal Kombat: Armageddon,0.88,0.04,0.0,0.14,1.06
1938,Freekstyle,0.52,0.41,0.0,0.14,1.06
1939,Grand Theft Auto: Chinatown Wars,0.28,0.49,0.03,0.27,1.06
1940,Spore Creatures,0.66,0.3,0.0,0.1,1.06
1941,The Orange Box,0.28,0.58,0.0,0.21,1.06
1943,DJ Hero,0.56,0.39,0.0,0.11,1.06
1944,Bully: Scholarship Edition,0.53,0.4,0.03,0.11,1.06
1945,NBA Street V3,0.52,0.41,0.0,0.14,1.06
1947,Hulk,0.52,0.41,0.0,0.14,1.06
1948,Overwatch,0.63,0.33,0.0,0.1,1.06
1951,Aliens vs Predator,0.55,0.4,0.0,0.11,1.06
1952,Skylanders Giants,0.36,0.49,0.0,0.2,1.06
1953,Diablo II: Lord of Destruction,1.03,0.02,0.0,0.0,1.06
1954,Endless Ocean,0.43,0.46,0.09,0.09,1.06
1955,Spider-Man 2,0.76,0.28,0.0,0.02,1.06
1956,Seek and Destroy,0.52,0.4,0.0,0.14,1.06
1957,Darksiders,0.67,0.28,0.01,0.1,1.06
1958,Mercenaries 2: World in Flames,0.65,0.3,0.01,0.1,1.06
1960,Warhawk,0.49,0.39,0.0,0.17,1.06
1961,DiRT 3,0.27,0.57,0.01,0.2,1.06
1962,Sega Superstars Tennis,0.28,0.65,0.0,0.13,1.05
1963,DiRT,0.16,0.66,0.0,0.23,1.05
1964,Call of Duty 4: Modern Warfare,0.95,0.01,0.01,0.08,1.05
1966,Resident Evil: The Darkside Chronicles,0.46,0.31,0.2,0.09,1.05
1967,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,0.81,0.11,0.0,0.13,1.05
1974,NBA 2K3,0.51,0.4,0.0,0.13,1.05
1975,LEGO The Lord of the Rings,0.37,0.49,0.0,0.19,1.05
1976,The Simpsons: Road Rage,0.78,0.26,0.0,0.01,1.05
1977,Dave Mirra Freestyle BMX,0.91,0.11,0.0,0.03,1.05
1978,EA Sports UFC,0.46,0.41,0.01,0.17,1.05
1979,Forza Motorsport,0.52,0.51,0.0,0.02,1.05
1980,Virtua Tennis 3,0.23,0.58,0.03,0.21,1.05
1982,MVP Baseball 2003,0.51,0.4,0.0,0.13,1.04
1985,WWE SmackDown vs. Raw 2010,0.56,0.37,0.01,0.1,1.04
1987,Sleeping Dogs,0.31,0.49,0.05,0.19,1.04
1990,Naruto: Clash of Ninja 2,0.44,0.12,0.45,0.03,1.04
1991,Dance Dance Revolution SuperNOVA,0.87,0.03,0.0,0.14,1.04
1992,Aliens vs Predator,0.41,0.46,0.0,0.18,1.04
1995,F-Zero: Maximum Velocity,0.39,0.16,0.37,0.12,1.04
1996,Sonic the Hedgehog,0.44,0.48,0.0,0.11,1.04
1998,Need for Speed: Most Wanted,0.53,0.46,0.0,0.05,1.04
1999,The Simpsons Game,0.54,0.39,0.0,0.11,1.03
2000,F1 2012,0.12,0.63,0.05,0.23,1.03
2001,Brink,0.59,0.35,0.01,0.09,1.03
2002,MX vs. ATV Unleashed,0.86,0.03,0.0,0.14,1.03
2003,WipEout Pure,0.47,0.34,0.0,0.23,1.03
2004,UFC Undisputed 3,0.55,0.32,0.03,0.13,1.03
2005,LEGO Pirates of the Caribbean: The Video Game,0.54,0.39,0.0,0.09,1.03
2006,Tom Clancy's Ghost Recon Advanced Warfighter 2,0.34,0.48,0.02,0.19,1.03
2007,Super Princess Peach,0.7,0.05,0.21,0.07,1.03
2008,Guinness World Records: The Videogame,0.46,0.47,0.0,0.11,1.03
2009,NCAA March Madness 2004,0.5,0.39,0.0,0.13,1.03
2012,The Legend of Zelda: Twilight Princess HD,0.56,0.3,0.08,0.09,1.03
2013,LEGO Indiana Jones: The Original Adventures,0.44,0.42,0.0,0.17,1.03
2014,Tomb Raider,0.96,0.07,0.0,0.0,1.03
2015,Street Fighter Alpha 3,0.38,0.12,0.51,0.02,1.03
2016,MySims Agents,0.61,0.32,0.0,0.1,1.03
2018,MotorStorm: Arctic Edge,0.16,0.57,0.0,0.29,1.02
2019,FIFA Soccer 08,0.32,0.59,0.01,0.11,1.02
2021,Tiger Woods PGA Tour 08,0.93,0.01,0.0,0.08,1.02
2022,Dragon Ball Z: Budokai Tenkaichi 3,0.32,0.36,0.26,0.09,1.02
2023,Shrek 2,0.73,0.26,0.01,0.03,1.02
2024,NBA 2K17,0.86,0.06,0.0,0.11,1.02
2025,Tom Clancy's Ghost Recon Advanced Warfighter 2,0.87,0.05,0.02,0.08,1.02
2026,Sonic Unleashed,0.56,0.32,0.01,0.14,1.02
2029,Disney Universe,0.64,0.28,0.0,0.1,1.02
2030,Dance on Broadway,0.25,0.65,0.0,0.12,1.02
2031,LEGO Indiana Jones 2: The Adventure Continues,0.62,0.31,0.0,0.09,1.02
2033,Bulletstorm,0.61,0.32,0.01,0.08,1.02
2034,Skylanders SWAP Force,0.43,0.42,0.0,0.17,1.02
2035,Madden NFL 07,0.97,0.03,0.0,0.03,1.02
2036,Sonic Generations,0.44,0.47,0.01,0.09,1.02
2037,Rock Band 2,0.93,0.01,0.0,0.08,1.02
2038,Harry Potter and the Prisoner of Azkaban,0.5,0.39,0.0,0.13,1.02
2039,Pokemon Conquest,0.56,0.05,0.37,0.04,1.02
2040,Wall-E,0.51,0.4,0.0,0.11,1.01
2042,Naruto: Clash of Ninja Revolution,0.44,0.46,0.0,0.11,1.01
2044,Ace Combat 6: Fires of Liberation,0.69,0.04,0.22,0.06,1.01
2045,The Simpsons Game,0.45,0.46,0.0,0.11,1.01
2049,Ninja Gaiden II,0.65,0.22,0.05,0.1,1.01
2050,Assassin's Creed: Rogue,0.58,0.34,0.0,0.09,1.01
2051,Rayman Legends,0.22,0.64,0.0,0.16,1.01
2053,Prince of Persia,0.54,0.34,0.02,0.1,1.01
2055,ZombiU,0.52,0.36,0.05,0.08,1.01
2056,Pokken Tournament,0.5,0.26,0.17,0.08,1.01
2057,Ford Racing 2,0.49,0.38,0.0,0.13,1.0
2059,NERF N-Strike Elite,0.93,0.0,0.0,0.07,1.0
2060,God of War: Ghost of Sparta,0.41,0.35,0.03,0.21,1.0
2067,SoulCalibur II,0.78,0.18,0.03,0.0,1.0
2073,Dynasty Warriors 3: Xtreme Legends,0.13,0.1,0.74,0.03,1.0
2074,Rayman Origins,0.33,0.49,0.01,0.17,1.0
2076,NFL Fever 2002,0.74,0.21,0.0,0.04,0.99
2077,Just Dance 2014,0.72,0.17,0.0,0.1,0.99
2078,NCAA Football 12,0.94,0.0,0.0,0.06,0.99
2080,UFC Undisputed 3,0.72,0.2,0.0,0.08,0.99
2081,Kirby: Mass Attack,0.48,0.06,0.41,0.05,0.99
2082,Haze,0.49,0.33,0.02,0.15,0.99
2083,Oddworld: Abe's Exoddus,0.55,0.38,0.0,0.06,0.99
2084,The Bouncer,0.3,0.23,0.38,0.08,0.99
2085,DiRT 2,0.27,0.52,0.0,0.19,0.99
2086,Guitar Hero: Aerosmith,0.73,0.15,0.0,0.11,0.99
2087,Shadow The Hedgehog,0.76,0.2,0.0,0.03,0.99
2088,EyePet,0.35,0.52,0.04,0.08,0.99
2089,Apollo Justice: Ace Attorney,0.28,0.04,0.64,0.03,0.99
2090,Ace Combat X: Skies of Deception,0.37,0.3,0.12,0.19,0.99
2091,Dark Souls,0.64,0.27,0.0,0.09,0.99
2094,Midnight Club: LA Remix,0.52,0.27,0.0,0.19,0.98
2095,Pro Evolution Soccer 2008,0.02,0.53,0.19,0.25,0.98
2098,FIFA Soccer 10,0.23,0.64,0.0,0.11,0.98
2099,Tales of Graces f,0.28,0.18,0.45,0.07,0.98
2100,Fallout 3,0.02,0.88,0.0,0.08,0.98
2101,Mario Party Advance,0.5,0.19,0.28,0.02,0.98
2103,Zoo Tycoon DS,0.86,0.03,0.01,0.08,0.98
2105,WWE SmackDown vs Raw 2008,0.38,0.5,0.0,0.11,0.98
2107,Dead Space 3,0.64,0.26,0.0,0.08,0.98
2110,Tom Clancy's Splinter Cell: Blacklist,0.57,0.32,0.01,0.08,0.98
2112,NBA 2K10,0.88,0.02,0.0,0.08,0.97
2113,NCAA Football 06,0.73,0.21,0.0,0.03,0.97
2115,Grand Theft Auto: San Andreas,0.0,0.93,0.0,0.04,0.97
2116,Madden NFL 08,0.89,0.0,0.0,0.08,0.97
2117,Fire Emblem,0.49,0.18,0.29,0.01,0.97
2118,Brutal Legend,0.62,0.26,0.0,0.09,0.97
2119,Disney Infinity,0.49,0.32,0.0,0.16,0.97
2121,NHL 2004,0.47,0.37,0.0,0.12,0.97
2122,Grand Theft Auto: Vice City Stories,0.78,0.03,0.03,0.13,0.97
2125,FIFA Soccer 2005,0.33,0.6,0.0,0.04,0.97
2126,Mass Effect 3,0.4,0.44,0.0,0.12,0.97
2127,Cars,0.85,0.04,0.0,0.07,0.97
2128,Band Hero,0.59,0.29,0.0,0.09,0.97
2130,Skylanders: Spyro's Adventure,0.53,0.34,0.0,0.1,0.97
2133,LEGO Star Wars II: The Original Trilogy,0.75,0.19,0.0,0.03,0.97
2134,Medal of Honor: Underground,0.54,0.37,0.0,0.06,0.97
2135,Dark Cloud 2,0.38,0.25,0.26,0.07,0.96
2136,Far Cry 3,0.22,0.62,0.0,0.12,0.96
2137,Evolve,0.36,0.41,0.05,0.15,0.96
2138,Dead Space 3,0.44,0.36,0.0,0.16,0.96
2144,NHL 2001,0.47,0.37,0.0,0.12,0.96
2145,Farming Simulator 2013,0.0,0.81,0.0,0.15,0.96
2146,Guitar Hero: Warriors of Rock,0.47,0.4,0.0,0.09,0.96
2147,de Blob,0.49,0.37,0.0,0.1,0.96
2149,Shinobi,0.36,0.28,0.22,0.09,0.96
2150,Mortal Kombat: Deadly Alliance,0.77,0.15,0.0,0.04,0.96
2151,The Witcher 2: Assassins of Kings,0.25,0.56,0.0,0.14,0.96
2152,Sniper Elite V2,0.38,0.38,0.06,0.14,0.96
2153,ESPN NBA 2K5,0.88,0.04,0.0,0.04,0.95
2154,Gangs of London,0.3,0.43,0.0,0.22,0.95
2155,Mario Tennis Open,0.26,0.29,0.34,0.05,0.95
2156,PilotWings Resort,0.4,0.36,0.13,0.07,0.95
2158,World Championship Poker,0.8,0.03,0.0,0.13,0.95
2159,My Weight Loss Coach,0.3,0.54,0.0,0.11,0.95
2160,Tom Clancy's Splinter Cell: Chaos Theory,0.36,0.45,0.0,0.14,0.95
2161,Sonic Unleashed,0.54,0.32,0.0,0.09,0.95
2162,SpongeBob SquarePants: Battle for Bikini Bottom,0.74,0.19,0.0,0.03,0.95
2164,PlayStation All-Stars Battle Royale,0.5,0.27,0.04,0.15,0.95
2168,Pro Evolution Soccer 2014,0.03,0.41,0.51,0.0,0.95
2171,Tom Clancy's Ghost Recon: Future Soldier,0.41,0.32,0.09,0.12,0.95
2172,Kessen,0.27,0.21,0.41,0.07,0.95
2173,Driver: San Francisco,0.24,0.52,0.01,0.18,0.95
2177,Army of Two: The 40th Day,0.62,0.24,0.0,0.09,0.95
2181,Lost Planet 2,0.29,0.33,0.2,0.13,0.95
2182,LEGO Pirates of the Caribbean: The Video Game,0.36,0.43,0.0,0.16,0.95
2184,Killzone,0.79,0.03,0.0,0.13,0.94
2187,The SpongeBob SquarePants Movie,0.73,0.19,0.0,0.03,0.94
2188,Star Fox 64 3D,0.48,0.27,0.13,0.06,0.94
2190,Castlevania: Lament of Innocence,0.46,0.36,0.0,0.12,0.94
2192,Tom Clancy's Splinter Cell: Blacklist,0.34,0.39,0.06,0.15,0.94
2194,Skylanders: Spyro's Adventure,0.39,0.39,0.0,0.16,0.94
2197,Phantasy Star Portable,0.19,0.06,0.63,0.05,0.94
2198,WWE SmackDown vs. Raw 2009,0.51,0.3,0.01,0.12,0.94
2199,NCAA Football 10,0.87,0.0,0.0,0.07,0.94
2200,Brutal Legend,0.54,0.27,0.0,0.13,0.94
2201,Tony Hawk: RIDE,0.69,0.17,0.0,0.08,0.94
2203,Bully,0.75,0.03,0.04,0.12,0.94
2205,Prince of Persia: The Sands of Time,0.57,0.33,0.0,0.04,0.94
2207,MLB 06: The Show,0.78,0.03,0.0,0.13,0.94
2208,NHL 2003,0.46,0.36,0.0,0.12,0.93
2209,Naruto Shippuden: Ultimate Ninja Storm 3,0.32,0.32,0.15,0.15,0.93
2210,EA Sports UFC 2,0.29,0.49,0.0,0.15,0.93
2211,The Sims 2,0.81,0.05,0.0,0.07,0.93
2213,Tony Hawk's Pro Skater 4,0.59,0.3,0.0,0.04,0.93
2214,Dragon Age: Inquisition,0.56,0.28,0.0,0.09,0.93
2215,White Knight Chronicles: International Edition,0.33,0.16,0.36,0.08,0.93
2216,SingStar Abba,0.27,0.5,0.0,0.16,0.93
2219,Kirby: Planet Robobot,0.28,0.14,0.47,0.04,0.93
2223,Guitar Hero: Metallica,0.4,0.43,0.0,0.1,0.93
2224,Teenage Mutant Ninja Turtles,0.67,0.25,0.0,0.02,0.93
2225,Bayonetta,0.51,0.25,0.09,0.08,0.93
2226,MLB 07: The Show,0.77,0.03,0.0,0.13,0.93
2227,Cars,0.72,0.19,0.0,0.03,0.93
2228,Build-A-Bear Workshop,0.85,0.01,0.0,0.07,0.93
2229,Kingdom Hearts Re:coded,0.53,0.09,0.27,0.05,0.93
2230,Operation Flashpoint: Dragon Rising,0.36,0.45,0.02,0.1,0.93
2232,Lego Batman 3: Beyond Gotham,0.37,0.4,0.0,0.15,0.93
2233,Wipeout: In The Zone,0.87,0.0,0.0,0.06,0.93
2235,Brothers in Arms: Hell's Highway,0.44,0.34,0.0,0.15,0.93
2236,The LEGO Movie Videogame,0.33,0.43,0.02,0.15,0.93
2237,Assassin's Creed III,0.28,0.53,0.0,0.12,0.93
2238,Borderlands 2,0.42,0.41,0.0,0.1,0.93
2239,Teenage Mutant Ninja Turtles,0.45,0.35,0.0,0.12,0.92
2240,Disney Magical World,0.17,0.2,0.53,0.03,0.92
2241,Top Gun: Combat Zones,0.45,0.35,0.0,0.12,0.92
2242,NCAA Football 11,0.86,0.0,0.0,0.06,0.92
2243,007: The World is not Enough,0.51,0.35,0.0,0.06,0.92
2246,Phoenix Wright: Ace Attorney,0.44,0.05,0.39,0.05,0.92
2247,MLB 15: The Show,0.68,0.08,0.0,0.17,0.92
2248,South Park: The Stick of Truth,0.43,0.34,0.0,0.16,0.92
2249,South Park: The Stick of Truth,0.58,0.26,0.0,0.09,0.92
2254,MLB 12: The Show,0.86,0.0,0.0,0.06,0.92
2255,SpongeBob SquarePants: The Yellow Avenger,0.55,0.21,0.0,0.16,0.92
2256,Dante's Inferno,0.63,0.2,0.02,0.07,0.92
2257,Wii Play: Motion,0.23,0.42,0.18,0.09,0.92
2258,WWE SmackDown vs. Raw 2009,0.58,0.26,0.0,0.08,0.92
2259,Sonic Riders,0.71,0.18,0.0,0.03,0.92
2262,Blue Dragon,0.3,0.32,0.21,0.08,0.92
2264,Harvest Moon 3D: A New Beginning,0.41,0.17,0.3,0.05,0.91
2265,Kung Fu Panda,0.5,0.32,0.0,0.09,0.91
2268,EA Sports Active 2,0.52,0.27,0.0,0.12,0.91
2270,Knockout Kings 2002,0.45,0.35,0.0,0.12,0.91
2272,Tom Clancy's EndWar,0.58,0.24,0.01,0.09,0.91
2274,Tokyo Xtreme Racer 3,0.35,0.27,0.21,0.09,0.91
2275,Xenoblade Chronicles,0.43,0.25,0.16,0.07,0.91
2278,Colin McRae Rally 2.0,0.02,0.8,0.02,0.07,0.91
2279,Dynasty Warriors 7,0.25,0.13,0.46,0.06,0.91
2280,NBA 2K14,0.7,0.11,0.0,0.09,0.91
2282,SSX,0.35,0.41,0.02,0.14,0.91
2283,Sonic Riders: Zero Gravity,0.48,0.32,0.02,0.09,0.91
2286,Sonic Mega Collection Plus,0.61,0.26,0.0,0.04,0.91
2287,Operation Flashpoint: Dragon Rising,0.23,0.46,0.05,0.17,0.91
2288,Tiger Woods PGA Tour 2002,0.44,0.35,0.0,0.12,0.9
2289,Lost Odyssey,0.45,0.26,0.11,0.08,0.9
2290,Street Fighter V,0.4,0.28,0.08,0.14,0.9
2291,Just Cause 3,0.44,0.39,0.0,0.08,0.9
2293,MLB 2005,0.44,0.35,0.0,0.12,0.9
2294,Marvel: Ultimate Alliance 2,0.68,0.15,0.0,0.08,0.9
2295,Burnout Revenge,0.75,0.03,0.0,0.12,0.9
2296,Crysis 3,0.51,0.31,0.01,0.08,0.9
2298,The Witcher 2: Assassins of Kings,0.48,0.32,0.02,0.08,0.9
2299,Homefront,0.32,0.39,0.04,0.15,0.9
2301,LEGO Jurassic World,0.32,0.42,0.02,0.14,0.9
2303,The Elder Scrolls Online,0.32,0.51,0.0,0.07,0.9
2305,Hot Shots Tennis,0.17,0.13,0.55,0.05,0.9
2306,MX vs. ATV Reflex,0.52,0.25,0.0,0.12,0.9
2307,Madden NFL 25,0.63,0.13,0.0,0.15,0.9
2308,Sonic Heroes,0.41,0.43,0.01,0.05,0.9
2310,Spider-Man 3,0.74,0.03,0.01,0.12,0.9
2311,James Bond 007: Agent Under Fire,0.65,0.22,0.0,0.03,0.9
2313,LEGO Marvel Super Heroes,0.42,0.36,0.04,0.07,0.9
2314,DJ Hero,0.42,0.34,0.0,0.14,0.9
2316,X-Men Legends,0.62,0.24,0.0,0.04,0.9
2317,NBA Live 2005,0.81,0.05,0.0,0.04,0.9
2318,Harry Potter: Quidditch World Cup,0.44,0.34,0.0,0.11,0.9
2321,Blitz: The League,0.74,0.03,0.0,0.12,0.89
2323,Castlevania: Circle of the Moon,0.6,0.22,0.05,0.02,0.89
2324,SOCOM 4: U.S. Navy SEALs,0.66,0.11,0.04,0.08,0.89
2325,Tiger Woods PGA Tour 06,0.74,0.03,0.0,0.12,0.89
2326,FIFA Street,0.17,0.62,0.0,0.1,0.89
2327,Classic NES Series: The Legend of Zelda,0.46,0.17,0.24,0.02,0.89
2328,Fire Emblem: The Sacred Stones,0.42,0.16,0.3,0.02,0.89
2333,Killzone: Liberation,0.44,0.27,0.0,0.18,0.89
2334,Finding Nemo,0.69,0.18,0.0,0.02,0.89
2336,Ace Combat 2,0.16,0.11,0.56,0.06,0.89
2337,NFL 2K2,0.44,0.34,0.0,0.11,0.89
2338,Pure,0.42,0.33,0.0,0.14,0.89
2340,Resistance: Retribution,0.27,0.35,0.05,0.21,0.89
2341,Call of Duty: World at War,0.56,0.25,0.0,0.08,0.89
2342,Tiger Woods PGA Tour 12: The Masters,0.52,0.25,0.0,0.11,0.89
2346,FIFA Soccer 09 All-Play,0.28,0.51,0.0,0.09,0.89
2348,LEGO Indiana Jones 2: The Adventure Continues,0.47,0.29,0.0,0.13,0.89
2350,Fossil Fighters,0.83,0.0,0.0,0.06,0.89
2352,NCAA Football 13,0.82,0.0,0.0,0.07,0.89
2353,Samba De Amigo,0.41,0.37,0.01,0.09,0.88
2355,The Simpsons Game,0.38,0.36,0.0,0.15,0.88
2356,Call of Duty: Modern Warfare 2,0.01,0.79,0.0,0.09,0.88
2357,The Tomb Raider Trilogy,0.27,0.46,0.0,0.15,0.88
2358,F1 2010,0.18,0.59,0.01,0.1,0.88
2359,Call of Juarez: Bound in Blood,0.35,0.37,0.01,0.15,0.88
2362,NBA 2K6,0.43,0.34,0.0,0.11,0.88
2363,Dissidia 012: Duodecim Final Fantasy,0.21,0.12,0.46,0.08,0.88
2366,Monster 4X4: World Circuit,0.8,0.0,0.01,0.07,0.88
2367,Far Cry: Primal,0.47,0.33,0.0,0.08,0.88
2368,Resident Evil: Revelations,0.3,0.22,0.3,0.05,0.88
2369,Sonic Chronicles: The Dark Brotherhood,0.5,0.29,0.01,0.08,0.88
2370,Star Wars: The Force Unleashed,0.5,0.28,0.0,0.09,0.88
2371,Grand Theft Auto IV,0.01,0.79,0.0,0.07,0.88
2372,Rock Band 3,0.73,0.09,0.0,0.06,0.88
2373,WWE SmackDown vs. Raw 2011,0.44,0.35,0.0,0.08,0.88
2374,ESPN NHL 2K5,0.43,0.33,0.0,0.11,0.88
2375,Borderlands: The Handsome Collection,0.38,0.33,0.03,0.14,0.88
2376,Crimson Skies: High Road to Revenge,0.65,0.19,0.0,0.03,0.87
2377,Madden NFL 08,0.8,0.0,0.0,0.07,0.87
2378,Spec Ops: Ranger Elite,0.49,0.33,0.0,0.06,0.87
2380,F1 2009,0.15,0.62,0.0,0.11,0.87
2382,Tom Clancy's Ghost Recon: Island Thunder,0.61,0.24,0.0,0.03,0.87
2383,Sleeping Dogs,0.38,0.4,0.01,0.08,0.87
2384,Kingdoms of Amalur: Reckoning,0.55,0.24,0.01,0.07,0.87
2388,Kingdom Hearts Re: Chain of Memories,0.73,0.03,0.0,0.12,0.87
2389,Phantasy Star Portable 2,0.08,0.11,0.62,0.06,0.87
2391,Michael Jackson: The Experience,0.62,0.18,0.0,0.07,0.87
2393,LittleBigPlanet Karting,0.42,0.3,0.01,0.15,0.87
2394,Tony Hawk's Project 8,0.72,0.03,0.0,0.12,0.87
2396,GRID,0.33,0.44,0.01,0.09,0.87
2397,DiRT,0.38,0.4,0.0,0.09,0.87
2399,Red Faction: Guerrilla,0.48,0.29,0.01,0.09,0.87
2400,Fight Night Round 2,0.72,0.03,0.0,0.12,0.87
2401,Conflict: Desert Storm,0.48,0.37,0.0,0.02,0.87
2404,Cooking Mama: World Kitchen,0.51,0.27,0.01,0.08,0.87
2405,Brothers in Arms: Hell's Highway,0.47,0.3,0.0,0.09,0.87
2406,Vagrant Story,0.3,0.2,0.3,0.06,0.87
2407,Warriors Orochi,0.11,0.09,0.64,0.03,0.87
2409,Crysis 3,0.26,0.42,0.03,0.16,0.87
2410,Mercenaries 2: World in Flames,0.29,0.39,0.02,0.16,0.87
2413,Ghostbusters: The Video Game,0.59,0.2,0.0,0.07,0.86
2416,Guitar Hero Live,0.34,0.38,0.0,0.14,0.86
2417,Endless Ocean: Blue World,0.46,0.21,0.12,0.06,0.86
2418,Winning Eleven: Pro Evolution Soccer 2007,0.01,0.72,0.12,0.01,0.86
2419,Rocky,0.42,0.33,0.0,0.11,0.86
2420,Ford Racing,0.48,0.33,0.0,0.06,0.86
2422,Guitar Hero: Warriors of Rock,0.47,0.31,0.0,0.08,0.86
2424,Lemmings,0.12,0.51,0.0,0.23,0.86
2425,Dynasty Warriors 4: Xtreme Legends,0.17,0.13,0.51,0.04,0.86
2429,2010 FIFA World Cup South Africa,0.32,0.42,0.02,0.09,0.85
2430,Tomb Raider: Anniversary,0.12,0.62,0.0,0.11,0.85
2431,NBA 2K8,0.79,0.0,0.0,0.07,0.85
2433,Tiger Woods PGA Tour 2005,0.64,0.18,0.0,0.03,0.85
2436,Kingdoms of Amalur: Reckoning,0.37,0.29,0.09,0.11,0.85
2438,Dragon Ball Z: Burst Limit,0.22,0.33,0.18,0.12,0.85
2440,Tekken Tag Tournament 2,0.28,0.31,0.13,0.13,0.85
2441,Ninja Gaiden Sigma 2,0.52,0.16,0.08,0.1,0.85
2442,Ratatouille,0.31,0.0,0.0,0.53,0.85
2444,Burnout 2: Point of Impact,0.42,0.32,0.0,0.11,0.85
2445,Wii Fit U,0.35,0.23,0.21,0.05,0.85
2446,Street Fighter EX3,0.32,0.25,0.2,0.08,0.85
2447,The Legendary Starfy,0.6,0.0,0.2,0.05,0.85
2448,NCAA Football 11,0.79,0.0,0.0,0.06,0.85
2449,The House of the Dead: Overkill,0.44,0.3,0.02,0.09,0.85
2450,Army of Two: The 40th Day,0.44,0.27,0.01,0.12,0.85
2451,Darksiders II,0.35,0.35,0.01,0.14,0.84
2452,Spider-Man 2,0.65,0.17,0.0,0.02,0.84
2454, Tales of Xillia 2,0.2,0.12,0.45,0.07,0.84
2455,Ghostbusters: The Video Game,0.34,0.36,0.0,0.14,0.84
2456,The Incredibles,0.65,0.17,0.0,0.02,0.84
2457,Xenoblade Chronicles X,0.36,0.28,0.14,0.06,0.84
2458,NBA 2K10,0.75,0.01,0.01,0.07,0.84
2462,Skate 2,0.46,0.25,0.01,0.12,0.84
2464,Big Mutha Truckers,0.41,0.32,0.0,0.11,0.84
2466,Rogue Galaxy,0.24,0.16,0.39,0.05,0.84
2467,ESPN College Hoops 2K5,0.41,0.32,0.0,0.11,0.84
2468,NCAA Football 14,0.75,0.0,0.0,0.09,0.84
2469,Harry Potter and the Order of the Phoenix,0.28,0.46,0.0,0.1,0.84
2470,Sniper Elite V2,0.46,0.28,0.02,0.07,0.84
2471,Metroid: Zero Mission,0.6,0.22,0.0,0.01,0.84
2473,Burnout Legends,0.7,0.05,0.0,0.08,0.84
2475,Blazing Angels: Squadrons of WWII,0.74,0.04,0.0,0.06,0.83
2476,Madden NFL 09 All-Play,0.76,0.01,0.0,0.06,0.83
2478,Dynasty Warriors 2,0.24,0.19,0.34,0.06,0.83
2480,Time Crisis 4,0.32,0.32,0.05,0.14,0.83
2481,Duke Nukem Forever,0.52,0.25,0.0,0.07,0.83
2482,Lizzie McGuire 2: Lizzie Diaries,0.6,0.22,0.0,0.01,0.83
2484,NCAA Football 12,0.78,0.0,0.0,0.05,0.83
2485,Brute Force,0.62,0.18,0.01,0.03,0.83
2486,Tiger Woods PGA Tour 11,0.37,0.33,0.0,0.13,0.83
2488,WWE SmackDown vs. Raw 2009,0.44,0.31,0.0,0.08,0.83
2491,Sly 3: Honor Among Thieves,0.69,0.03,0.0,0.11,0.83
2493,Need for Speed: Nitro,0.45,0.3,0.0,0.08,0.83
2494,Street Fighter X Tekken,0.42,0.21,0.1,0.09,0.83
2497,Sid Meier's Civilization Revolution,0.58,0.17,0.0,0.07,0.83
2498,Tales of the Abyss,0.43,0.19,0.14,0.06,0.83
2499,Dragon Age II,0.4,0.26,0.05,0.11,0.83
2500,Call of Duty: Modern Warfare 3,0.55,0.2,0.0,0.08,0.82
2503,James Bond 007: Nightfire,0.58,0.22,0.0,0.03,0.82
2504,Tony Hawk's Pro Skater 3,0.64,0.17,0.0,0.02,0.82
2505,Marvel: Ultimate Alliance,0.69,0.03,0.0,0.11,0.82
2506,DJ Hero 2,0.64,0.12,0.0,0.06,0.82
2507,Harvest Moon: Tree of Tranquility,0.67,0.03,0.06,0.05,0.82
2508,Tony Hawk's Underground 2 Remix,0.46,0.21,0.0,0.15,0.82
2509,Need for Speed: Hot Pursuit 2,0.68,0.11,0.0,0.03,0.82
2514,Amped: Freestyle Snowboarding,0.69,0.11,0.0,0.02,0.82
2517,Stranglehold,0.4,0.33,0.01,0.09,0.82
2519,Shin Megami Tensei: Persona 4,0.34,0.04,0.36,0.08,0.82
2520,Devil May Cry HD Collection,0.42,0.19,0.11,0.09,0.82
2525,Dance Central 3,0.57,0.18,0.0,0.06,0.81
2528,Tales of Destiny II,0.06,0.04,0.66,0.05,0.81
2530,NASCAR 2001,0.45,0.31,0.0,0.05,0.81
2532,The Legend of Zelda: Four Swords Adventures,0.63,0.16,0.0,0.02,0.81
