,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,worldwide_sales
1891,NFL Blitz 2000,PlayStation,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08
1892,NASCAR Thunder 2004,PlayStation 2,2003,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08
1893,SpongeBob SquarePants: Revenge of the Flying Dutchman,PlayStation 2,2002,Platform,THQ,0.53,0.41,0.0,0.14,1.08
1894,Imagine: Babysitters,DS,2008,Simulation,Ubisoft,0.63,0.35,0.0,0.1,1.08
1895,Namco Museum Battle Collection,PlayStation Portable,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.0899999999999999
1896,Fisherman's Bass Club,PlayStation 2,2002,Sports,Agetec,0.53,0.41,0.0,0.14,1.08
1897,Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0.0,0.1,1.08
1898,Virtua Fighter 5,PlayStation 3,2007,Fighting,Sega,0.29,0.51,0.08,0.2,1.08
1899,Dante's Inferno,PlayStation 3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09
1900,Toy Story 3: The Video Game,PlayStation 3,2010,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.07
1901,Joust,Atari,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08
1902,Tom Clancy's Ghost Recon 2,PlayStation 2,2004,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08
1903,Final Fantasy XIV: A Realm Reborn,PlayStation 3,2013,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08
1904,Forza Horizon 3,Xbox One,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08
1905,Disney Infinity 2.0: Marvel Super Heroes,Xbox 360,2014,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08
1906,Ready 2 Rumble Boxing,PlayStation,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08
1907,Star Wars: The Force Unleashed,PlayStation Portable,2008,Action,LucasArts,0.43,0.4,0.0,0.24,1.07
1908,Dragon Ball Z: Taiketsu,Game Boy Advance,2003,Fighting,Atari,0.77,0.29,0.0,0.02,1.08
1909,Disney's Lilo & Stitch,Game Boy Advance,2002,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08
1910,Star Fox: Assault,GameCube,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
1911,Plants vs. Zombies: Garden Warfare,Xbox 360,2014,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.07
1912,The Simpsons Game,PlayStation Portable,2007,Action,Electronic Arts,0.24,0.54,0.0,0.3,1.08
1913,Doko Demo Issyo,PlayStation,1999,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07
1914,LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0.0,0.08,1.07
1915,Call of Duty 3,PlayStation 2,2006,Shooter,Activision,0.89,0.03,0.0,0.15,1.07
1916,FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.0699999999999998
1917,Imagine: Fashion Designer New York,DS,2008,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07
1918,Prince of Persia,PlayStation 3,2008,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07
1919,Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07
1921,WWE SmackDown vs. Raw 2010,PlayStation 2,2009,Fighting,THQ,0.53,0.01,0.0,0.54,1.08
1922,The Biggest Loser,Wii,2009,Sports,THQ,0.86,0.12,0.0,0.09,1.07
1923,Marvel vs. Capcom 3: Fate of Two Worlds,Xbox 360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07
1924,Tomb Raider: Underworld,Xbox 360,2008,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07
1925,NHL 99,PlayStation,1997,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
1926,Pro Evolution Soccer 2008,Xbox 360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07
1927,SoulCalibur III,PlayStation 2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07
1928,Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07
1929,MySims Agents,DS,2009,Adventure,Electronic Arts,0.54,0.42,0.0,0.11,1.07
1930,Ridge Racer Revolution,PlayStation,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
1931,World Tour Soccer,PlayStation Portable,2005,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07
1932,Naruto: Ultimate Ninja Storm,PlayStation 3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07
1933,Red Dead Redemption: Undead Nightmare,Xbox 360,2010,Action,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07
1934,Lightning Returns: Final Fantasy XIII,PlayStation 3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07
1935,Hot Wheels Turbo Racing,PlayStation,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.06
1936,NCAA Football 99,PlayStation,1998,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
1937,Mortal Kombat: Armageddon,PlayStation 2,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06
1938,Freekstyle,PlayStation 2,2002,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.0699999999999998
1939,Grand Theft Auto: Chinatown Wars,PlayStation Portable,2009,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.07
1940,Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06
1941,The Orange Box,PlayStation 3,2007,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,1.07
1942,Simple 1500 Series Vol. 1: The Mahjong,PlayStation,1998,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06
1943,DJ Hero,Xbox 360,2009,Misc,Activision,0.56,0.39,0.0,0.11,1.06
1944,Bully: Scholarship Edition,Xbox 360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07
1945,NBA Street V3,PlayStation 2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.0699999999999998
1946,Worms Armageddon,PlayStation,1999,Strategy,Microprose,0.18,0.81,0.0,0.08,1.07
1947,Hulk,PlayStation 2,2003,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.0699999999999998
1948,Overwatch,Xbox One,2016,Shooter,Activision,0.63,0.33,0.0,0.1,1.06
1949,NFL Quarterback Club 98,Nintendo 64,1997,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.07
1950,NFL Blitz,Nintendo 64,1998,Sports,Midway Games,1.02,0.04,0.0,0.01,1.07
1951,Aliens vs Predator,Xbox 360,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06
1952,Skylanders Giants,PlayStation 3,2012,Action,Activision,0.36,0.49,0.0,0.2,1.05
1953,Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.05
1954,Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.07
1955,Spider-Man 2,Game Boy Advance,2004,Action,Activision,0.76,0.28,0.0,0.02,1.06
1956,Seek and Destroy,PlayStation 2,2002,Racing,Play It,0.52,0.4,0.0,0.14,1.06
1957,Darksiders,Xbox 360,2010,Action,THQ,0.67,0.28,0.01,0.1,1.06
1958,Mercenaries 2: World in Flames,Xbox 360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06
1959,LEGO Marvel Super Heroes,Xbox One,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.05
1960,Warhawk,PlayStation 3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.05
1961,DiRT 3,PlayStation 3,2011,Racing,Codemasters,0.27,0.57,0.01,0.2,1.05
1962,Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0.0,0.13,1.06
1963,DiRT,PlayStation 3,2007,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05
1964,Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.95,0.01,0.01,0.08,1.05
1965,Cosmic Ark,Atari,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05
1966,Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.46,0.31,0.2,0.09,1.06
1967,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PlayStation Portable,2006,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05
1968,Defender,Atari,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05
1969,Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05
1970,Arc the Lad II,PlayStation,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05
1971,Tag Team Match M.U.S.C.L.E.,Nintendo,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
1973,Adventure Island,Nintendo,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
1974,NBA 2K3,PlayStation 2,2002,Sports,Sega,0.51,0.4,0.0,0.13,1.04
1975,LEGO The Lord of the Rings,PlayStation 3,2012,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05
1976,The Simpsons: Road Rage,Xbox,2001,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05
1977,Dave Mirra Freestyle BMX,PlayStation,2000,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05
1978,EA Sports UFC,PlayStation 4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05
1979,Forza Motorsport,Xbox,2005,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05
1980,Virtua Tennis 3,PlayStation 3,2007,Sports,Sega,0.23,0.58,0.03,0.21,1.05
1981,Monster Rancher 2,PlayStation,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05
1982,MVP Baseball 2003,PlayStation 2,2003,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
1983,Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.48,0.0,0.11,1.04
1985,WWE SmackDown vs. Raw 2010,Xbox 360,2009,Fighting,THQ,0.56,0.37,0.01,0.1,1.04
1986,Tales of Destiny,PlayStation,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.05
1987,Sleeping Dogs,PlayStation 3,2012,Action,Square Enix,0.31,0.49,0.05,0.19,1.04
1988,ATV: Quad Power Racing,PlayStation,2000,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04
1989,Mega Man X4,PlayStation,1996,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
1990,Naruto: Clash of Ninja 2,GameCube,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
1991,Dance Dance Revolution SuperNOVA,PlayStation 2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04
1992,Aliens vs Predator,PlayStation 3,2010,Shooter,Sega,0.41,0.46,0.0,0.18,1.05
1993,Bomberman 64,Nintendo 64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
1994,Jeremy McGrath Supercross 98,PlayStation,1998,Racing,Acclaim Entertainment,0.91,0.1,0.0,0.03,1.04
1995,F-Zero: Maximum Velocity,Game Boy Advance,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
1996,Sonic the Hedgehog,Xbox 360,2006,Platform,Sega,0.44,0.48,0.0,0.11,1.03
1997,Sonic & Sega All-Stars Racing,DS,2010,Racing,Sega,0.43,0.5,0.0,0.11,1.04
1998,Need for Speed: Most Wanted,Xbox,2005,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04
1999,The Simpsons Game,Xbox 360,2007,Action,Electronic Arts,0.54,0.39,0.0,0.11,1.04
2000,F1 2012,PlayStation 3,2012,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03
2001,Brink,Xbox 360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.04
2002,MX vs. ATV Unleashed,PlayStation 2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03
2003,WipEout Pure,PlayStation Portable,2005,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.23,1.04
2004,UFC Undisputed 3,PlayStation 3,2012,Action,THQ,0.55,0.32,0.03,0.13,1.0300000000000002
2005,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,2011,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,1.02
2006,Tom Clancy's Ghost Recon Advanced Warfighter 2,PlayStation 3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03
2007,Super Princess Peach,DS,2005,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03
2008,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04
2009,NCAA March Madness 2004,PlayStation 2,2003,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.02
2011,Bomberman,Nintendo,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
2012,The Legend of Zelda: Twilight Princess HD,Wii U,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03
2013,LEGO Indiana Jones: The Original Adventures,PlayStation 3,2008,Action,Activision,0.44,0.42,0.0,0.17,1.03
2014,Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03
2015,Street Fighter Alpha 3,PlayStation,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03
2016,MySims Agents,Wii,2009,Adventure,Electronic Arts,0.61,0.32,0.0,0.1,1.03
2017,Junior Brain Trainer,DS,2008,Misc,GSP,0.23,0.71,0.0,0.09,1.03
2018,MotorStorm: Arctic Edge,PlayStation Portable,2009,Racing,Sony Computer Entertainment,0.16,0.57,0.0,0.29,1.02
2019,FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.03
2020,ZhuZhu Pets,DS,2010,Simulation,Activision,0.67,0.26,0.0,0.09,1.02
2021,Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.93,0.01,0.0,0.08,1.02
2022,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.03
2023,Shrek 2,GameCube,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.03
2024,NBA 2K17,Xbox One,2016,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.03
2025,Tom Clancy's Ghost Recon Advanced Warfighter 2,Xbox 360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02
2026,Sonic Unleashed,PlayStation 3,2008,Platform,Sega,0.56,0.32,0.01,0.14,1.0300000000000002
2028,The Lost World: Jurassic Park,PlayStation,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.03
2029,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.64,0.28,0.0,0.1,1.02
2030,Dance on Broadway,Wii,2010,Misc,Ubisoft,0.25,0.65,0.0,0.12,1.02
2031,LEGO Indiana Jones 2: The Adventure Continues,Xbox 360,2009,Action,Activision,0.62,0.31,0.0,0.09,1.02
2032,Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02
2033,Bulletstorm,Xbox 360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02
2034,Skylanders SWAP Force,PlayStation 3,2013,Platform,Activision,0.43,0.42,0.0,0.17,1.02
2035,Madden NFL 07,Xbox,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.03
2036,Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09,1.01
2037,Rock Band 2,Wii,2008,Misc,MTV Games,0.93,0.01,0.0,0.08,1.02
2038,Harry Potter and the Prisoner of Azkaban,PlayStation 2,2004,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02
2039,Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02
2040,Wall-E,Wii,2008,Platform,THQ,0.51,0.4,0.0,0.11,1.02
2041,Pong: The Next Level,PlayStation,1998,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
2042,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.46,0.0,0.11,1.01
2043,Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,Adventure,Disney Interactive Studios,0.56,0.34,0.02,0.09,1.0100000000000002
2044,Ace Combat 6: Fires of Liberation,Xbox 360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01
2045,The Simpsons Game,Wii,2007,Action,Electronic Arts,0.45,0.46,0.0,0.11,1.02
2047,Championship Manager 3,PC,2003,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01
2048,Need for Speed: Most Wanted,PlayStation Vita,2012,Racing,Electronic Arts,0.33,0.45,0.01,0.22,1.01
2049,Ninja Gaiden II,Xbox 360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.02
2050,Assassin's Creed: Rogue,Xbox 360,2014,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01
2051,Rayman Legends,PlayStation 4,2014,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.02
2052,Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0.0,0.0,1.01,0.0,1.01
2053,Prince of Persia,Xbox 360,2008,Action,Ubisoft,0.54,0.34,0.02,0.1,1.0000000000000002
2054,Monster Rancher,PlayStation,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
2055,ZombiU,Wii U,2012,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01
2056,Pokken Tournament,Wii U,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01
2057,Ford Racing 2,PlayStation 2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0
2058,Breath of Fire III,PlayStation,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.01
2059,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0
2060,God of War: Ghost of Sparta,PlayStation Portable,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.0
2061,Dead or Alive 2,PlayStation 2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0
2062,1942,Nintendo,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
2063,Game & Watch Gallery,Game Boy,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0
2064,Excitebike 64,Nintendo 64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0
2065,NES Open Tournament Golf,Nintendo,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
2066,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PlayStation 2,2004,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0
2067,SoulCalibur II,Xbox,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,0.99
2068,PES 2009: Pro Evolution Soccer,Xbox 360,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1.01
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),Xbox 360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0
2070,Road & Track Presents: The Need for Speed,PlayStation,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.01
2071,NFL GameDay 2001,PlayStation,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.01
2072,NBA Live 97,PlayStation,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0
2073,Dynasty Warriors 3: Xtreme Legends,PlayStation 2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0
2074,Rayman Origins,PlayStation 3,2011,Platform,Ubisoft,0.33,0.49,0.01,0.17,1.0
2075,Jampack Winter 2000,PlayStation,2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0
2076,NFL Fever 2002,Xbox,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99
2077,Just Dance 2014,Xbox 360,2013,Misc,Ubisoft,0.72,0.17,0.0,0.1,0.99
2078,NCAA Football 12,Xbox 360,2011,Sports,Electronic Arts,0.94,0.0,0.0,0.06,1.0
2079,The Simpsons: Hit & Run,GameCube,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,1.0
2080,UFC Undisputed 3,Xbox 360,2012,Action,THQ,0.72,0.2,0.0,0.08,0.9999999999999999
2081,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.48,0.06,0.41,0.05,1.0
2082,Haze,PlayStation 3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,0.9900000000000001
2083,Oddworld: Abe's Exoddus,PlayStation,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99
2084,The Bouncer,PlayStation 2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
2085,DiRT 2,PlayStation 3,2009,Racing,Codemasters,0.27,0.52,0.0,0.19,0.98
2086,Guitar Hero: Aerosmith,PlayStation 3,2008,Misc,Activision,0.73,0.15,0.0,0.11,0.99
2087,Shadow The Hedgehog,GameCube,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99
2088,EyePet,PlayStation 3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.08,0.99
2089,Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99
2090,Ace Combat X: Skies of Deception,PlayStation Portable,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.98
2091,Dark Souls,Xbox 360,2011,Role-Playing,Namco Bandai Games,0.64,0.27,0.0,0.09,1.0
2092,Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.29,0.0,0.09,0.9899999999999999
2093,Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.16,0.78,0.0,0.04,0.9800000000000001
2094,Midnight Club: LA Remix,PlayStation Portable,2008,Racing,Take-Two Interactive,0.52,0.27,0.0,0.19,0.98
2095,Pro Evolution Soccer 2008,PlayStation Portable,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.99
2096,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,0.58,0.31,0.0,0.1,0.9899999999999999
2097,Final Fantasy Type-0,PlayStation 4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98
2098,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.64,0.0,0.11,0.98
2099,Tales of Graces f,PlayStation 3,2010,Role-Playing,Namco Bandai Games,0.28,0.18,0.45,0.07,0.98
2100,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98
2101,Mario Party Advance,Game Boy Advance,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.99
2102,Tetris 2,Nintendo,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
2103,Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.03,0.01,0.08,0.98
2104,NASCAR 99,Nintendo 64,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.99
2105,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0.0,0.11,0.99
2107,Dead Space 3,Xbox 360,2013,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98
2109,Rocksmith 2014,PlayStation 3,2013,Misc,Ubisoft,0.53,0.24,0.05,0.16,0.9800000000000001
2110,Tom Clancy's Splinter Cell: Blacklist,Xbox 360,2013,Action,Ubisoft,0.57,0.32,0.01,0.08,0.9799999999999999
2111,Madden NFL 10,PlayStation 2,2009,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98
2112,NBA 2K10,Xbox 360,2009,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.98
2113,NCAA Football 06,Xbox,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97
2114,Madden NFL 16,Xbox 360,2015,Sports,Electronic Arts,0.85,0.02,0.0,0.1,0.97
2115,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.9700000000000001
2116,Madden NFL 08,PlayStation 3,2007,Sports,Electronic Arts,0.89,0.0,0.0,0.08,0.97
2117,Fire Emblem,Game Boy Advance,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
2118,Brutal Legend,Xbox 360,2009,Action,Electronic Arts,0.62,0.26,0.0,0.09,0.97
2119,Disney Infinity,PlayStation 3,2013,Action,Disney Interactive Studios,0.49,0.32,0.0,0.16,0.9700000000000001
2120,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.01,0.86,0.01,0.97
2121,NHL 2004,PlayStation 2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2122,Grand Theft Auto: Vice City Stories,PlayStation 2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.9700000000000001
2123,Disney Tangled,DS,2010,Action,Disney Interactive Studios,0.53,0.35,0.0,0.09,0.97
2124,Wheel of Fortune,Wii,2010,Misc,THQ,0.86,0.04,0.0,0.06,0.96
2125,FIFA Soccer 2005,Xbox,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97
2126,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.12,0.9600000000000001
2127,Cars,DS,2006,Racing,THQ,0.85,0.04,0.0,0.07,0.96
2128,Band Hero,Wii,2009,Misc,Activision,0.59,0.29,0.0,0.09,0.9699999999999999
2130,Skylanders: Spyro's Adventure,Xbox 360,2011,Action,Activision,0.53,0.34,0.0,0.1,0.9700000000000001
2131,Donkey Kong Junior,Atari,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.9600000000000001
2133,LEGO Star Wars II: The Original Trilogy,GameCube,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97
2134,Medal of Honor: Underground,PlayStation,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
2135,Dark Cloud 2,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
2136,Far Cry 3,PC,2012,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96
2137,Evolve,PlayStation 4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.9700000000000001
2138,Dead Space 3,PlayStation 3,2013,Action,Electronic Arts,0.44,0.36,0.0,0.16,0.9600000000000001
2139,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2140,Jampack Summer '99,PlayStation,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
2141,Dance Dance Revolution 2nd ReMIX,PlayStation,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96
2142,Mortal Kombat Trilogy,Nintendo 64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96
2143,Star Soldier,Nintendo,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
2144,NHL 2001,PlayStation 2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2145,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.9600000000000001
