,name,platform,year_of_release,genre,publisher,developer,rating
2852,F1 2011,Xbox 360,2011,Racing,Codemasters,Codemasters,E
2853,Mobile Suit Gundam: Encounters in Space,PlayStation 2,2003,Simulation,Namco Bandai Games,Bandai,T
2854,MLB 10: The Show,PlayStation 3,2010,Sports,Sony Computer Entertainment,SCEA,E
2855,MX vs. ATV Reflex,Xbox 360,2009,Racing,THQ,Rainbow Studios,E
2856,Blur,PlayStation 3,2010,Racing,Activision,Bizarre Creations,E10+
2859,Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,EA DICE,M
2860,DiRT 3,Xbox 360,2011,Racing,Codemasters,Codemasters,T
2861,The Lord of the Rings: The Two Towers,Xbox,2002,Action,Electronic Arts,Stormfront Studios,T
2862,Madden NFL 2003,Xbox,2002,Sports,Electronic Arts,EA Tiburon,E
2863,Skate,Xbox 360,2007,Sports,Electronic Arts,EA Black Box,T
2865,XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,Firaxis Games,M
2866,Ben 10: Protector of Earth,PlayStation Portable,2007,Action,D3Publisher,High Voltage Software,E10+
2867,Virtua Fighter 4: Evolution,PlayStation 2,2003,Fighting,Sega,Sega,T
2868,Crysis,PC,2007,Shooter,Electronic Arts,Crytek,M
2869,Resident Evil: Survivor,PlayStation,2000,Action,Eidos Interactive,Capcom,M
2870,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,Full Fat,E
2872,Godzilla: Destroy All Monsters Melee,GameCube,2002,Fighting,Atari,"Pipeworks Software, Inc.",T
2875,Silent Hill 3,PlayStation 2,2003,Action,Konami Digital Entertainment,KCET,M
2877,Spyro: Enter the Dragonfly,GameCube,2002,Platform,Universal Interactive,Equinoxe,E
2879,Power Rangers: Dino Thunder,PlayStation 2,2004,Action,THQ,Pacific Coast Power & Light,E
2880,Madden NFL 08,PlayStation Portable,2007,Sports,Electronic Arts,EA Tiburon,E
2885,Madden NFL 09,PlayStation Portable,2008,Sports,Electronic Arts,EA Tiburon,E
2887,NBA Live 09,Xbox 360,2008,Sports,Electronic Arts,EA Canada,E
2889,Dragon Ball: Xenoverse 2,PlayStation 4,2016,Action,Namco Bandai Games,Dimps Corporation,T
2890,Dynasty Warriors 6,PlayStation 3,2007,Action,Tecmo Koei,"Koei, Omega Force",T
2893,NCAA Football 09,Xbox 360,2008,Sports,Electronic Arts,EA Tiburon,E
2894,Doom 3: Resurrection of Evil,Xbox,2005,Shooter,Activision,"id Software, Nerve Software",M
2895,SSX,Xbox 360,2012,Sports,Electronic Arts,EA Canada,E
2896,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,"Eighting, Genius Sonority Inc.",T
2897,Two Worlds,Xbox 360,2007,Role-Playing,SouthPeak Games,Reality Pump,M
2898,Tony Hawk's Underground,GameCube,2003,Sports,Activision,Neversoft Entertainment,T
2899,Spider-Man 2,PlayStation Portable,2005,Action,Activision,Vicarious Visions,T
2901,NCAA Football 08,Xbox 360,2007,Sports,Electronic Arts,EA Sports,E
2903,Skylanders: Trap Team,Wii U,2014,Action,Activision,Toys for Bob,E10+
2904,Star Wars: Obi-Wan,Xbox,2001,Action,Activision,LucasArts,T
2905,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,Capcom,T
2906,Kill.Switch,PlayStation 2,2003,Shooter,Sony Computer Entertainment,Namco,T
2907,Catherine,PlayStation 3,2011,Adventure,Deep Silver,Atlus,M
2910,SplashDown,PlayStation 2,2001,Racing,Atari,Rainbow Studios,E
2912,Jade Empire,Xbox,2005,Role-Playing,Microsoft Game Studios,BioWare,M
2913,Infinite Undiscovery,Xbox 360,2008,Role-Playing,Square Enix,Tri-Ace,T
2917,Lego Star Wars: The Force Awakens,PlayStation 4,2016,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
2918,NHL 12,Xbox 360,2011,Sports,Electronic Arts,Electronic Arts,E10+
2919,Advance Wars,Game Boy Advance,2001,Strategy,Nintendo,Intelligent Systems,E
2920,NASCAR 2001,PlayStation 2,2000,Racing,Electronic Arts,EA Sports,E
2923,Mafia,PlayStation 2,2004,Action,Illusion Softworks,Illusion Softworks,M
2925,Ape Escape: On the Loose,PlayStation Portable,2005,Platform,Sony Computer Entertainment,"SCEA, Sims",E
2926,Mobile Suit Gundam: Journey to Jaburo,PlayStation 2,2000,Simulation,Namco Bandai Games,Bandai,T
2927,MLB 08: The Show,PlayStation 3,2008,Sports,Sony Computer Entertainment,SCEA San Diego Studios,E
2928,TimeSplitters 2,PlayStation 2,2002,Shooter,Eidos Interactive,Free Radical Design,T
2929,Omerta: City of Gangsters,Xbox 360,2011,Simulation,Konami Digital Entertainment,Kalypso,T
2930,Driver: San Francisco,Xbox 360,2011,Racing,Ubisoft,Ubisoft Reflections,T
2931,Classic NES Series: Zelda II: The Adventure of Link,Game Boy Advance,2004,Adventure,Nintendo,Nintendo,E
2934,James Bond 007: Blood Stone,PlayStation 3,2010,Shooter,Activision,Bizarre Creations,T
2938,Metal Gear Solid: Portable Ops Plus,PlayStation Portable,2007,Action,Konami Digital Entertainment,Kojima Productions,T
2939,LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,TT Fusion,E10+
2941,Halo 2 Multiplayer Map Pack,Xbox,2005,Shooter,Microsoft Game Studios,Bungie Software,M
2942,Mortal Kombat: Shaolin Monks,PlayStation 2,2005,Action,Midway Games,Midway Studios - Los Angeles,M
2947,MotionSports,Xbox 360,2010,Sports,Ubisoft,Ubisoft Milan,T
2948,MX vs. ATV Unleashed: On the Edge,PlayStation Portable,2006,Racing,THQ,Rainbow Studios,E
2949,Mario Pinball Land,Game Boy Advance,2004,Misc,Nintendo,Fuse Games Limited,E
2952,Dragon Ball Z: Budokai,GameCube,2003,Fighting,Atari,Pyramid,T
2955,Plants vs. Zombies: Garden Warfare,Xbox One,2014,Shooter,Electronic Arts,PopCap,E10+
2956,Need for Speed Rivals,Xbox One,2013,Racing,Electronic Arts,Ghost Games,E10+
2957,The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,Full Fat,E
2958,Harry Potter and the Chamber of Secrets,GameCube,2002,Action,Electronic Arts,Eurocom Entertainment Software,E
2959,Prince of Persia: The Forgotten Sands,PlayStation 3,2010,Action,Ubisoft,Ubisoft Montreal,T
2961,The Lord of the Rings: The Return of the King,GameCube,2003,Action,Electronic Arts,Hypnos Entertainment,T
2962,The Sims: Medieval,PC,2011,Simulation,Electronic Arts,The Sims Studio,T
2964,Top Spin 4,PlayStation 3,2011,Sports,Take-Two Interactive,2K Czech,E
2966,Baldur's Gate: Dark Alliance II,PlayStation 2,2004,Role-Playing,Interplay,Black Isle Studios,T
2967,Shark Tale,Game Boy Advance,2004,Action,Activision,Vicarious Visions,E
2968,IL-2 Sturmovik: Birds of Prey,PlayStation 3,2009,Simulation,505 Games,Gaijin Entertainment,T
2972,NBA Street Vol. 2,Xbox,2003,Sports,Electronic Arts,Electronic Arts,E
2974,MX vs. ATV Untamed,Xbox 360,2007,Racing,THQ,Rainbow Studios,E
2975,The Last Remnant,Xbox 360,2008,Role-Playing,Square Enix,Square Enix,M
2976,NCAA Football 2005,Xbox,2004,Sports,Electronic Arts,EA Sports,E
2978,The Sly Collection,PlayStation 3,2010,Platform,Sony Computer Entertainment,Sanzaru Games,E10+
2979,Naruto: Clash of Ninja,GameCube,2003,Fighting,Tomy Corporation,Tomy Corporation,T
2980,Sniper Elite 3,PlayStation 4,2014,Shooter,505 Games,Rebellion,M
2981,Prince of Persia: The Two Thrones,PlayStation 2,2005,Action,Ubisoft,Ubisoft Montreal,M
2982,Hot Shots Golf: Open Tee 2,PlayStation Portable,2007,Sports,Sony Computer Entertainment,Clap Hanz,E
2985,Suikoden II,PlayStation,1998,Role-Playing,Konami Digital Entertainment,Konami,T
2986,Iron Man,PlayStation 3,2008,Action,Sega,Secret Level,T
2987,FIFA Soccer 06,Xbox,2005,Sports,Electronic Arts,EA Canada,E
2988,Fight Night 2004,Xbox,2004,Fighting,Electronic Arts,EA Sports,T
2990,.hack//Mutation Part 2,PlayStation 2,2002,Role-Playing,Atari,CyberConnect2,T
2991,Wolfenstein: The New Order,Xbox One,2014,Shooter,Bethesda Softworks,MachineGames,M
2992,Cars: Mater-National Championship,DS,2007,Racing,THQ,Rainbow Studios,E
2995,Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,HAL Labs,E10+
2996,Return to Castle Wolfenstein: Tides of War,Xbox,2003,Shooter,Activision,Nerve Software,M
2997,RIFT,PC,2011,Role-Playing,Unknown,Trion Worlds,T
2998,Spider-Man 3,PlayStation 3,2007,Platform,Activision,Treyarch,T
3000,Mass Effect,PC,2008,Role-Playing,Electronic Arts,"BioWare, Demiurge Studios",M
3006,The Evil Within,Xbox One,2014,Action,Bethesda Softworks,Tango Gameworks,M
3007,Armored Core 3,PlayStation 2,2002,Simulation,Metro 3D,From Software,T
3008,Star Wars: Republic Commando,Xbox,2005,Shooter,Activision,LucasArts,T
3011,The LEGO Movie Videogame,PlayStation 4,2014,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
3012,Turok,PlayStation 3,2008,Action,Touchstone,Propaganda Games,M
3014,Terraria,Xbox 360,2013,Action,505 Games,Engine Software,T
3015,Red Steel,Wii,2006,Shooter,Ubisoft,Ubisoft Paris,T
3020,Unreal Tournament III,PlayStation 3,2007,Shooter,Midway Games,Epic Games,M
3022,Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,"RED Entertainment, Artdink",E
3023,The Sims 3,DS,2010,Simulation,Electronic Arts,Exient Entertainment,E
3029,NFL Street,Xbox,2004,Sports,Electronic Arts,EA Tiburon,E
3030,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,Square Enix,E10+
3031,Bakugan: Battle Brawlers,Wii,2009,Action,Activision,Now Production,E
3032,Blazing Angels: Squadrons of WWII,PlayStation 3,2006,Simulation,Ubisoft,Ubisoft,T
3033,WWE SmackDown vs. RAW 2007,PlayStation Portable,2006,Fighting,THQ,Yuke's,T
3035,F1 2015,PlayStation 4,2015,Racing,Codemasters,Codemasters,E
3036,Tony Hawk's Proving Ground,PlayStation 2,2007,Sports,Activision,Page 44 Studios,T
3037,The Darkness,PlayStation 3,2007,Shooter,Take-Two Interactive,Starbreeze,M
3039,MLB 2004,PlayStation 2,2003,Sports,Sony Computer Entertainment,989 Sports,E
3043,Darkstone,PlayStation,2001,Role-Playing,Electronic Arts,Delphine Software International,T
3044,NCAA March Madness 2003,PlayStation 2,2002,Sports,Electronic Arts,NuFX,E
3047,Thrillville,PlayStation 2,2006,Strategy,Atari,Frontier Developments,E10+
3051,Castlevania: Lords of Shadow,Xbox 360,2010,Action,Konami Digital Entertainment,Mercury Steam,M
3053,NHL 10,Xbox 360,2009,Sports,Electronic Arts,EA Canada,E10+
3059,Street Fighter Anniversary Collection,PlayStation 2,2004,Fighting,Capcom,Capcom,T
3061,NHL 13,Xbox 360,2012,Sports,Electronic Arts,Electronic Arts,E10+
3062,Napoleon: Total War,PC,2010,Strategy,Sega,Creative Assembly,T
3065,Rayman Legends,Wii U,2013,Platform,Ubisoft,Ubisoft Montpellier,E10+
3066,The Sims: Bustin' Out,GameCube,2003,Simulation,Electronic Arts,Maxis,T
3067,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,Irrational Games,M
3069,Ratatouille,PlayStation Portable,2007,Action,THQ,Locomotive Games,E
3070,Lollipop Chainsaw,PlayStation 3,2012,Action,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,M
3071,Tom Clancy's EndWar,PlayStation 3,2008,Strategy,Ubisoft,Ubisoft Shanghai,T
3072,Shrek: Hassle at the Castle,Game Boy Advance,2002,Action,TDK Mediactive,TOSE,E
3073,Suikoden IV,PlayStation 2,2004,Role-Playing,Konami Digital Entertainment,KCET,T
3074,Gods Eater Burst,PlayStation Portable,2010,Action,Namco Bandai Games,"Shift, Bandai Namco Games",T
3075,Fist of the North Star: Ken's Rage,PlayStation 3,2010,Action,Ubisoft Annecy,"Koei, Omega Force",M
3078,One Piece: Pirate Warriors 2,PlayStation 3,2013,Action,Namco Bandai Games,Omega Force,T
3080,Brothers In Arms: Road to Hill 30,Xbox,2005,Shooter,Ubisoft,Gearbox Software,M
3084,LEGO Jurassic World,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
3085,Kung Fu Panda,PlayStation 2,2008,Action,Activision,Xpec,E10+
3086,Freedom Wars,PlayStation Vita,2014,Role-Playing,Sony Computer Entertainment,"Dimps Corporation, SCE Japan Studio",T
3090,Shaun White Snowboarding,PlayStation 3,2008,Sports,Ubisoft,Ubisoft Montreal,T
3091,Radiata Stories,PlayStation 2,2005,Role-Playing,Square Enix,Tri-Ace,T
3094,F-Zero GX,GameCube,2003,Racing,Nintendo,Amusement Vision,T
3095,Disney's Chicken Little,PlayStation 2,2005,Platform,Disney Interactive Studios,Avalanche Software,E10+
3096,Scene It? Box Office Smash,Xbox 360,2008,Misc,Microsoft Game Studios,"Krome Studios, Screenlife Games",T
3097,Yoshi Topsy-Turvy,Game Boy Advance,2004,Platform,Nintendo,Artoon,E
3098,Monster Jam: Maximum Destruction,PlayStation 2,2002,Racing,Ubisoft,Ubisoft,T
3100,Tiger Woods PGA Tour 09,PlayStation 3,2008,Sports,Electronic Arts,EA Tiburon,E
3102,Mortal Kombat,PlayStation Vita,2012,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,M
3104,Tiger Woods PGA Tour 09,Xbox 360,2008,Sports,Electronic Arts,EA Tiburon,E
3105,Advance Wars 2: Black Hole Rising,Game Boy Advance,2003,Strategy,Nintendo,Intelligent Systems,E
3106,Wario: Master of Disguise,DS,2007,Platform,Nintendo,Suzak,E10+
3108,The Last Story,Wii,2011,Role-Playing,Nintendo,"Mistwalker, Artoon",T
3109,Drakengard,PlayStation 2,2003,Role-Playing,Square Enix,Cavia Inc.,M
3112,Champions: Return to Arms,PlayStation 2,2005,Role-Playing,Sony Online Entertainment,Snowblind Studios,T
3113,Harry Potter and the Goblet of Fire,PlayStation 2,2005,Action,Electronic Arts,Electronic Arts,E10+
3119,Tiger Woods PGA Tour 10,Xbox 360,2009,Sports,Electronic Arts,EA Tiburon,E
3120,007: Quantum of Solace,Wii,2008,Action,Activision,Treyarch,T
3123,Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,Giants Software,E
3127,Borderlands 2,PlayStation Vita,2014,Shooter,Take-Two Interactive,Iron Galaxy Studios,M
3129,Crash Bandicoot Purple: Ripto's Rampage,Game Boy Advance,2004,Platform,Vivendi Games,Vicarious Visions,E
3130,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,Ubisoft,M
3131,Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,Exient Entertainment,T
3132,Spyro: A Hero's Tail,PlayStation 2,2004,Platform,Vivendi Games,Eurocom Entertainment Software,E
3133,Crash: Twinsanity,PlayStation 2,2004,Platform,Vivendi Games,Traveller's Tales,E
3134,The LEGO Movie Videogame,Wii U,2014,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
3135,Max Payne 2: The Fall of Max Payne,Xbox,2003,Shooter,Take-Two Interactive,Remedy Entertainment,M
3137,Drawn to Life: The Next Chapter,DS,2009,Puzzle,THQ,5TH Cell,E
3138,GoldenEye: Rogue Agent,PlayStation 2,2004,Shooter,Electronic Arts,EA LA,T
3139,WWE 2K15,Xbox 360,2014,Sports,Take-Two Interactive,Yuke's,T
3141,Star Ocean: First Departure,PlayStation Portable,2007,Role-Playing,Square Enix,TOSE,T
3142,James Bond 007: Everything or Nothing,Xbox,2004,Shooter,Electronic Arts,EA Redwood Shores,T
3143,X2: Wolverine's Revenge,PlayStation 2,2003,Platform,Activision,GenePool,T
3144,NBA Live 06,Xbox,2005,Sports,Electronic Arts,EA Canada,E
3149,Rayman 3D,3DS,2011,Platform,Ubisoft,Ubisoft Casablanca,E
3150,Football Manager 2014,PC,2013,Sports,Sega,Sports Interactive,E
3152,TimeSplitters 2,Xbox,2002,Shooter,Eidos Interactive,Free Radical Design,T
3153,Onimusha: Dawn of Dreams,PlayStation 2,2006,Action,Capcom,Capcom,M
3154,Sengoku Basara: Samurai Heroes,PlayStation 3,2010,Action,Capcom,Capcom,T
3155,Stuntman: Ignition,Xbox 360,2007,Racing,THQ,Paradigm Entertainment,T
3156,Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,Epicenter Studios,E10+
3157,Dishonored 2,PlayStation 4,2016,Action,Bethesda Softworks,Arkane Studios,M
3161,The Crew,Xbox One,2014,Racing,Ubisoft,"Ubisoft Reflections, Ivory Tower",T
3162,Dragon Ball: Raging Blast 2,Xbox 360,2010,Fighting,Namco Bandai Games,Spike,T
3166,NHL 13,PlayStation 3,2012,Sports,Electronic Arts,Electronic Arts,E10+
3167,Dead or Alive 5,PlayStation 3,2012,Fighting,Tecmo Koei,Team Ninja,M
3168,Evolve,Xbox One,2015,Shooter,Take-Two Interactive,Turtle Rock Studios,M
3169,Lemony Snicket's A Series of Unfortunate Events,PlayStation 2,2004,Platform,Activision,Adrenium,E
3170,Lost Planet: Extreme Condition,PlayStation 3,2008,Shooter,Capcom,Capcom,T
3171,X-Men Legends II: Rise of Apocalypse,PlayStation 2,2005,Role-Playing,Activision,Raven Software,T
3175,LEGO Star Wars II: The Original Trilogy,Xbox 360,2006,Action,LucasArts,Traveller's Tales,E10+
3178,Rock Band 3,Wii,2010,Misc,MTV Games,Backbone Entertainment,T
3179,Dragon Age II,PC,2011,Action,Electronic Arts,BioWare,M
3180,Tony Hawk's Pro Skater 2x,Xbox,2001,Sports,Activision,Treyarch,T
3181,NBA Live 08,PlayStation 3,2007,Sports,Electronic Arts,EA Canada,E
3183,FIFA Soccer 2003,Xbox,2002,Sports,Electronic Arts,EA Canada,E
3185,The Lord of the Rings: Conquest,Xbox 360,2009,Action,Electronic Arts,Pandemic Studios,T
3186,Far Cry 4,PC,2014,Shooter,Ubisoft,Ubisoft Montreal,M
3188,NASCAR 06: Total Team Control,PlayStation 2,2005,Racing,Electronic Arts,EA Sports,E
3192,Iron Man,PlayStation Portable,2008,Action,Sega,Artificial Mind and Movement,T
3193,White Knight Chronicles II,PlayStation 3,2010,Role-Playing,Sony Computer Entertainment,Level 5,T
3195,Juiced 2: Hot Import Nights,Xbox 360,2007,Racing,THQ,Juice Games,T
3196,Wolfenstein,PlayStation 3,2009,Shooter,Activision,"id Software, Raven Software",M
3197,The Walking Dead: Survival Instinct,Xbox 360,2013,Shooter,Activision,Terminal Reality,M
3198,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,The Sims Studio,T
3199,Ape Escape 2,PlayStation 2,2002,Platform,Sony Computer Entertainment,SCE Japan Studio,E
3202,Sega Rally Revo,PlayStation 3,2007,Racing,Sega,SEGA Racing Studio,E
3203,Shin Megami Tensei: Persona 3 FES,PlayStation 2,2007,Role-Playing,Tecmo Koei,Atlus Co.,M
3204,FIFA Soccer 2002,PlayStation 2,2001,Sports,Electronic Arts,EA Sports,E
3205,Angry Birds Trilogy,3DS,2012,Action,Activision,Exient Entertainment,E
3207,Condemned 2: Bloodshot,Xbox 360,2008,Action,Sega,Monolith Productions,M
3208,Okami,PlayStation 2,2006,Action,Capcom,Clover Studio,T
3209,Shin Megami Tensei: Persona 3 Portable,PlayStation Portable,2009,Role-Playing,Ghostlight,Atlus,M
3211,NHL 2001,PlayStation,2000,Sports,Electronic Arts,Page 44 Studios,E
3212,Crysis 3,PC,2013,Shooter,Electronic Arts,Crytek,M
3213,Buzz Lightyear of Star Command,PlayStation,2000,Platform,Activision,Traveller's Tales,E
3214,NHL 16,PlayStation 4,2015,Sports,Electronic Arts,"EA Sports, EA Canada",E10+
3218,Tony Hawk's Project 8,PlayStation 3,2006,Sports,Activision,Neversoft Entertainment,T
3219,Ghostbusters: The Video Game,Xbox 360,2009,Action,Atari,Terminal Reality,T
3220,XCOM: Enemy Unknown,Xbox 360,2012,Strategy,Take-Two Interactive,Firaxis Games,M
3224,Tony Hawk's American Wasteland,Xbox,2005,Sports,Activision,Neversoft Entertainment,T
3226,Wild ARMs 3,PlayStation 2,2002,Role-Playing,Ubisoft,"Media Vision, Contrail",T
3229,Madden NFL 07,GameCube,2006,Sports,Electronic Arts,EA Tiburon,E
3232,Tiger Woods PGA Tour 2004,Xbox,2003,Sports,Electronic Arts,EA Sports,E
3234,Tak 2: The Staff of Dreams,PlayStation 2,2004,Platform,THQ,Avalanche Software,E
3235,Just Dance 3,PlayStation 3,2011,Misc,Ubisoft,Ubisoft,E10+
3236,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,Traveller's Tales,E10+
3237,Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,Paon Corporation,E
3240,Viewtiful Joe,GameCube,2003,Action,Capcom,Clover Studio,T
3241,The Urbz: Sims in the City,Game Boy Advance,2004,Simulation,Electronic Arts,Griptonite Games,E
3243,Guitar Hero: Metallica,PlayStation 3,2009,Misc,Activision,Neversoft Entertainment,T
3245,Strike Force Bowling,PlayStation 2,2004,Sports,Play It,Lab Rats Games,E
3247,Red Steel 2,Wii,2010,Shooter,Ubisoft,Ubisoft Paris,T
3249,XGRA: Extreme G-Racing Association,PlayStation 2,2004,Racing,Eidos Interactive,Acclaim Studios Cheltenham,T
3250,Mafia III,Xbox One,2016,Action,Take-Two Interactive,Hangar 13,M
3256,Prince of Persia: The Forgotten Sands,Xbox 360,2010,Action,Ubisoft,Ubisoft Montreal,T
3257,Warriors Orochi 3,PlayStation 3,2011,Action,Ubisoft Annecy,Omega Force,T
3259,DJ Hero 2,Wii,2010,Misc,Activision,FreeStyleGames,T
3264,Tiger Woods PGA Tour 12: The Masters,Xbox 360,2011,Sports,Electronic Arts,Electronic Arts,E
3266,Wall-E,Xbox 360,2008,Platform,THQ,Heavy Iron Studios,E
3269,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,EA Bright Light,E
3270,NieR,PlayStation 3,2010,Role-Playing,Square Enix,Cavia Inc.,M
3271,2014 FIFA World Cup Brazil,PlayStation 3,2014,Sports,Electronic Arts,EA Canada,E
3273,NBA 2K9,PlayStation 3,2008,Sports,Take-Two Interactive,Visual Concepts,E
3276,NFL Fever 2003,Xbox,2002,Sports,Microsoft Game Studios,Microsoft Game Studios,E
3277,Samurai Warriors 2,PlayStation 2,2006,Action,Tecmo Koei,Omega Force,T
3278,Wet,PlayStation 3,2009,Shooter,Bethesda Softworks,Artificial Mind and Movement,M
3279,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,Cooking Mama Limited,E
3280,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,5TH Cell,E10+
3283,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,Intelligent Systems,E10+
3284,Plants vs. Zombies: Garden Warfare,PlayStation 4,2014,Shooter,Electronic Arts,PopCap,E10+
3285,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,Retro Studios,T
3286,Robotech: Battlecry,PlayStation 2,2002,Shooter,TDK Mediactive,Vicious Cycle,T
3288,Disney Universe,PlayStation 3,2011,Action,Disney Interactive Studios,Eurocom Entertainment Software,E10+
3290,Jak and Daxter: The Lost Frontier,PlayStation Portable,2009,Platform,Sony Computer Entertainment,High Impact Games,E10+
3291,Texas Hold 'Em Poker,Game Boy Advance,2004,Misc,Majesco Entertainment,Skyworks Technologies,E
3292,Time Crisis 3,PlayStation 2,2003,Shooter,Namco Bandai Games,Namco,T
3294,Vanquish,PlayStation 3,2010,Shooter,Sega,PlatinumGames,M
3296,Tearaway,PlayStation Vita,2013,Adventure,Sony Computer Entertainment Europe,Media Molecule,E
3298,Half-Life 2,Xbox,2005,Shooter,Electronic Arts,Valve Software,M
3300,Tony Hawk: RIDE,Xbox 360,2009,Sports,Activision,Robomodo,E10+
3301,Borderlands: The Pre-Sequel,PlayStation 3,2014,Shooter,Take-Two Interactive,2K Australia,M
3302,Major League Baseball 2K8,Xbox 360,2008,Sports,Bethesda Softworks,Kush Games,E
3303,Sacred 2: Fallen Angel,PlayStation 3,2009,Role-Playing,Deep Silver,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
3304,pro evolution soccer 2011,Xbox 360,2010,Sports,Konami Digital Entertainment,Konami,E
3305,Major League Baseball 2K9,Xbox 360,2009,Sports,Spike,2K Sports,E
3306,Final Fantasy IV Advance,Game Boy Advance,2005,Role-Playing,Nintendo,TOSE,E10+
3307,Dragon Ball Z: Ultimate Tenkaichi,PlayStation 3,2011,Fighting,Namco Bandai Games,Spike,T
3311,Harry Potter and the Goblet of Fire,Game Boy Advance,2005,Action,Electronic Arts,Magic Pockets,E
3313,Dragon Ball Z: Buu's Fury,Game Boy Advance,2004,Action,Atari,Webfoot Technologies,E
3315,Spider-Man: Mysterio's Menace,Game Boy Advance,2001,Action,Activision,Vicarious Visions,E
3318,MySims Racing,DS,2009,Racing,Electronic Arts,EA Games,E
3319,Naruto: Ultimate Ninja,PlayStation 2,2003,Fighting,Atari,CyberConnect2,T
3320,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,TOSE,E10+
3322,Tony Hawk's Underground,Game Boy Advance,2003,Sports,Activision,Vicarious Visions,E
3326,Shadow The Hedgehog,PlayStation 2,2005,Platform,Sega,Sonic Team,E10+
3327,Wave Race: Blue Storm,GameCube,2001,Racing,Nintendo,Nintendo,E
3328,Aliens: Colonial Marines,PlayStation 3,2013,Shooter,Sega,Gearbox Software,M
3329,Backyard Wrestling: Don't Try This at Home,PlayStation 2,2003,Fighting,Eidos Interactive,Paradox Development,M
3330,Yakuza: Dead Souls,PlayStation 3,2011,Shooter,Sega,Ryu ga Gotoku Studios,M
3331,Fight Night Round 2,Xbox,2005,Fighting,Electronic Arts,EA Sports,T
3333,Dead Island: Riptide,PlayStation 3,2013,Action,Deep Silver,Techland,M
3335,Kinect Sports Rivals,Xbox One,2014,Sports,Microsoft Game Studios,Microsoft Game Studios,E10+
3336,NBA 2K8,PlayStation 2,2007,Sports,Take-Two Interactive,Visual Concepts,E
3337,Dynasty Warriors 8,PlayStation 3,2013,Action,Tecmo Koei,Omega Force,T
3339,Disney Infinity,Wii U,2013,Action,Disney Interactive Studios,Avalanche Software,E10+
3340,Secret Agent Clank,PlayStation 2,2009,Platform,Sony Computer Entertainment,Sanzaru Games,E10+
3341,Call of Juarez: Bound in Blood,Xbox 360,2009,Shooter,Ubisoft,Techland,M
3342,Fighters Uncaged,Xbox 360,2010,Fighting,Ubisoft,Ubisoft,T
3343,Rayman Arena,PlayStation 2,2001,Racing,Ubisoft,Ubisoft,E
3344,Jaws Unleashed,PlayStation 2,2006,Action,THQ,Appaloosa Interactive,M
3346,Half-Life,PlayStation 2,2001,Shooter,Vivendi Games,Gearbox Software,M
3350,Split/Second,Xbox 360,2010,Racing,Disney Interactive Studios,Black Rock Studio,E10+
3351,The Golden Compass,DS,2007,Action,Sega,Artificial Mind and Movement,E10+
3356,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,Vanillaware,T
3361,Okami,Wii,2008,Action,Capcom,Ready at Dawn,T
3363,LEGO The Hobbit,PlayStation 4,2014,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
3365,WWE 2K17,PlayStation 4,2016,Sports,Take-Two Interactive,Yuke's,T
3366,Just Dance 2014,Wii U,2013,Misc,Ubisoft,Ubisoft,E10+
3370,NHL 15,PlayStation 4,2014,Sports,Electronic Arts,EA Sports,E10+
3371,Total War: Shogun 2,PC,2011,Strategy,Sega,Creative Assembly,T
